dataset,domain,target,model,n_train_used,mae,rmse,r2,train_time_sec,best_params
UCI Abalone,Biology,Rings,Gaussian Process Regression,3000,1.5125334070294698,2.13648359215228,0.5783396238663188,19.860161066055298,{}
UCI Abalone,Biology,Rings,MLP,3341,1.5276133698226049,2.1379959981941643,0.5777424300260934,3.3387668132781982,{}
UCI Abalone,Biology,Rings,FT-Transformer,3341,1.5244582951354069,2.152788973557713,0.5718789432105689,66.96040415763855,"{""d_token"": 32, ""n_heads"": 4, ""n_layers"": 2, ""dropout"": 0.1, ""lr"": 0.001, ""epochs"": 120}"
UCI Abalone,Biology,Rings,SVR-RBF,3341,1.485566501785467,2.1598122535440862,0.5690809738630878,4.6041083335876465,"{""C"": 10.0, ""epsilon"": 0.01, ""gamma"": 0.05}"
UCI Abalone,Biology,Rings,Ridge Regression,3341,1.5939082706633787,2.2115885095194177,0.5481728562444355,3.2663323879241943,"{""alpha"": 1.0}"
UCI Abalone,Biology,Rings,Linear Regression,3341,1.5931067816608364,2.2116130871218367,0.5481628137889263,0.009345054626464844,{}
UCI Abalone,Biology,Rings,Random Forest,3341,1.5756842105263158,2.235161983147774,0.5384894085302926,1.1500568389892578,{}
UCI Abalone,Biology,Rings,XGBoost,3341,1.5588100948972565,2.2373287945039375,0.5375941793599976,4.716344594955444,{}
UCI Abalone,Biology,Rings,HistGradientBoosting,3341,1.5846098189884956,2.2875917957570895,0.5165843247390208,2.055367946624756,{}
